asin,disponibilidad_mx,disponibilidad_usa,error_verificacion_mx,error_verificacion_usa,extracted_at,fecha_verificacion_mx,fecha_verificacion_usa,precio_actual_mx,precio_actual_usd,price,title,url_mx,url_usa,vendedor_actual_mx,vendedor_actual_usa
B09XKFFQQX,disponible,disponible,,,2025-11-17T01:28:37.938Z,2025-11-17T19:25:39.912Z,2025-11-17T20:10:27.985Z,320,14.38,$333.00,SKIN1004 Madagascar Centella Hyalu-Cica Moisture Cream 75ml,https://www.amazon.com.mx/dp/B09XKFFQQX,https://www.amazon.com/dp/B09XKFFQQX,King Global,TLPartnergroup
B0DFY92NDB,disponible,disponible,,,2025-11-17T01:28:37.938Z,2025-11-17T19:25:52.137Z,2025-11-17T20:10:36.851Z,869,29.98,$819.00,"CENTELLIAN 24 Regalos de Navidad Madeca Cream Time Reverse (temporada 7) (Time reverse (1 unidad), 1,69 fl oz): crema avanzada de rápida absorción y nutritiva, hidrata, reafirma y reduce las arruga",https://www.amazon.com.mx/dp/B0DFY92NDB,https://www.amazon.com/dp/B0DFY92NDB,3b-shoop,CENTELLIAN 24 Official
B0B7XFYR23,disponible,disponible,,,2025-11-17T01:28:37.939Z,2025-11-17T19:26:00.244Z,2025-11-17T20:10:45.559Z,345,16.12,$371.00,SKIN1004 Madagascar Centella Tea-Trica BHA Foam 125ml,https://www.amazon.com.mx/dp/B0B7XFYR23,https://www.amazon.com/dp/B0B7XFYR23,Skin Love MX,PSB Retail
B07QVPG2T6,disponible,disponible,,,2025-11-17T01:28:37.939Z,2025-11-17T19:26:08.294Z,2025-11-17T20:10:54.746Z,399.95,18.45,$399.95,Holika Holika Good Cera Mist de Ceramida - 120 ml,https://www.amazon.com.mx/dp/B07QVPG2T6,https://www.amazon.com/dp/B07QVPG2T6,Korea Official Mall,Welbi Store
B08F55M3VQ,disponible,no listado,,,2025-11-17T01:28:37.939Z,2025-11-17T19:26:15.367Z,2025-11-17T20:11:02.767Z,355,,$395.00,SKIN1004 Madagascar Centella Cream 75ml,https://www.amazon.com.mx/dp/B08F55M3VQ,https://www.amazon.com/dp/B08F55M3VQ,King Global,
B00PBX3L7K,disponible,disponible,,,2025-11-17T01:28:37.939Z,2025-11-17T19:26:23.891Z,2025-11-17T20:11:08.055Z,149,19.29,$399.00,Cosrx Advanced Snail 96 Mucin Power Essence 100 Ml,https://www.amazon.com.mx/dp/B00PBX3L7K,https://www.amazon.com/dp/B00PBX3L7K,Marca: COSRX,Elle Garden. LLC
B0CM37QQT3,disponible,disponible,,,2025-11-17T01:28:37.939Z,2025-11-17T19:26:32.702Z,2025-11-17T20:11:15.660Z,650,28.98,$822.00,"PURCELL Ampolla de calostro en bruma 24 horas al día, 7 días a la semana: piel de cristal con hidratación prolongada, piel suave sin poros, antes y después del maquillaje, ácido hialurónico y vitami",https://www.amazon.com.mx/dp/B0CM37QQT3,https://www.amazon.com/dp/B0CM37QQT3,MarketGarcia,PURCELL Official
B0B8829QXM,disponible,no listado,,,2025-11-17T01:28:37.939Z,2025-11-17T19:26:40.112Z,2025-11-17T20:11:23.544Z,371.1,,$419.95,SKIN1004 Madagascar Centella Tone Brightening Capsule Cream 75ml,https://www.amazon.com.mx/dp/B0B8829QXM,https://www.amazon.com/dp/B0B8829QXM,King Global,
B0B5DPN98P,disponible,no disponible,,,2025-11-17T01:28:37.939Z,2025-11-17T19:26:48.884Z,2025-11-17T20:11:30.351Z,665,,$781.00,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment For Women 1.7 oz Treatment,https://www.amazon.com.mx/dp/B0B5DPN98P,https://www.amazon.com/dp/B0B5DPN98P,KIT PRICE - (con Facturación),
B08BZ89KKR,disponible,disponible,,,2025-11-17T01:28:37.939Z,2025-11-17T19:26:57.341Z,2025-11-17T20:11:37.977Z,425,26.49,$518.00,"SKIN1004 Madagascar Centella - Kit de viaje básico para esquís calmante, tamaño compacto",https://www.amazon.com.mx/dp/B08BZ89KKR,https://www.amazon.com/dp/B08BZ89KKR,NovoSkinCare,PSB Retail
