also_appears_in,asin,batch_number,category,disponibilidad_mx,disponibilidad_usa,error_verificacion_mx,error_verificacion_usa,extracted_at,fecha_verificacion_mx,fecha_verificacion_usa,precio_actual_mx,precio_actual_usd,price,title,url_mx,url_usa,vendedor_actual_mx,vendedor_actual_usa
,B0DSHWDY62,4,Hogar y Cocina,disponible,no disponible,,,2025-10-31T20:23:44.930Z,2025-11-01T16:50:58.479Z,2025-11-02T16:26:59.300Z,529.71,,$579.41,"Qucship Potente XXL - Limpiador de basura espumoso y desodorantes tabletas – Paquete de 24 unidades, limpiador de eliminación de basura con aroma a cítricos, limpiador de drenaje para fregadero para 1",https://www.amazon.com.mx/dp/B0DSHWDY62,https://www.amazon.com/dp/B0DSHWDY62,BİLGİ LTD,
,B09B7CWR7J,4,Hogar y Cocina,disponible,disponible,,,2025-10-31T20:23:44.930Z,2025-11-01T16:51:07.881Z,2025-11-02T16:27:07.742Z,839.65,22.45,$829.82,JYP Ent Álbum de STRAY KIDS - NOEASY [Versión normal Vol.2) álbum + juego de tarjetas de fotos adicionales (versión aleatoria),https://www.amazon.com.mx/dp/B09B7CWR7J,https://www.amazon.com/dp/B09B7CWR7J,M&H Customer Friendly Store,Breezesun
,B07212S85T,4,Hogar y Cocina,disponible,no disponible,,,2025-10-31T20:23:44.930Z,2025-11-01T16:51:16.136Z,2025-11-02T16:27:16.248Z,474.69,,$477.05,"FeetPeople Premium Shoe Cream 1.5 Oz, Various Colors!",https://www.amazon.com.mx/dp/B07212S85T,https://www.amazon.com/dp/B07212S85T,M&H Customer Friendly Store,
,B0DNMM51XM,4,Hogar y Cocina,disponible,disponible,,,2025-10-31T20:23:44.930Z,2025-11-01T16:51:24.686Z,2025-11-02T16:27:23.815Z,919.45,23.99,$910.01,"Aliceset - Bolsas de lona reutilizables para dama de honor, 8 piezas para despedida de soltera, para dama de honor, para despedidas de soltera, bolsas de lona reutilizables",https://www.amazon.com.mx/dp/B0DNMM51XM,https://www.amazon.com/dp/B0DNMM51XM,M&H Customer Friendly Store,Warmerse
,B0BJZQTJPZ,4,Hogar y Cocina,disponible,no disponible,,,2025-10-31T20:23:44.930Z,2025-11-01T16:51:33.026Z,2025-11-02T16:27:32.118Z,862.07,,$873.92,"YVPSI - Libro decorativo de 3 piezas de tapa dura, libros decorativos modernos apilados, decoración para decoración del hogar, estantería, mesa de centro, estantes de exhibición para sala de estar",https://www.amazon.com.mx/dp/B0BJZQTJPZ,https://www.amazon.com/dp/B0BJZQTJPZ,HNEN,
,B0D85JP55S,4,Hogar y Cocina,disponible,no disponible,,,2025-10-31T20:23:44.930Z,2025-11-01T16:51:41.374Z,2025-11-02T16:27:40.212Z,768.25,,$770.87,"Vivenzia - Bloques de cedro para almacenamiento de ropa, 40 tablones, bloques aromáticos para armarios, tablones de cedro para armarios",https://www.amazon.com.mx/dp/B0D85JP55S,https://www.amazon.com/dp/B0D85JP55S,SRKSB LLC,
,B0BRRJBZZQ,4,Hogar y Cocina,disponible,disponible,,,2025-10-31T20:23:44.931Z,2025-11-01T16:51:49.781Z,2025-11-02T16:27:47.197Z,1539.52,48,"$1,484.86",Big Hit Entertainment TOMORROW X TOGETHER TXT - THE NAME CHAPTER : TEMPTATION [Lullaby ver.] Album (5 ver. SET),https://www.amazon.com.mx/dp/B0BRRJBZZQ,https://www.amazon.com/dp/B0BRRJBZZQ,SEONGSAN,Breezesun
,B09NBTMML2,4,Hogar y Cocina,disponible,disponible,,,2025-10-31T20:23:44.931Z,2025-11-01T16:51:58.164Z,2025-11-02T16:27:55.195Z,1179.83,37.59,"$1,173.67","Hearkent Atomic American English Hablando Reloj hablando claro y fuerte, fecha y hora de alarma, la banda elástica es el mejor regalo para personas mayores, con discapacidad visual o ciegas, plateado,",https://www.amazon.com.mx/dp/B09NBTMML2,https://www.amazon.com/dp/B09NBTMML2,SIDE SHOP,O.TAGE
,B0F3PJ3R91,4,Hogar y Cocina,disponible,disponible,,,2025-10-31T20:23:44.931Z,2025-11-01T16:52:06.151Z,2025-11-02T16:28:01.942Z,518.41,9.99,$512.93,"bocinas repelentes de mosquitos, bobina de incienso de citronela para exteriores, cada una se quema durante 8 horas (contiene 20 bocinas y 1 soporte)",https://www.amazon.com.mx/dp/B0F3PJ3R91,https://www.amazon.com/dp/B0F3PJ3R91,Corner Stone LLC,blooming shop LLC.
,B0CKN8CKSV,4,Hogar y Cocina,disponible,disponible,,,2025-10-31T20:23:44.931Z,2025-11-01T16:52:15.764Z,2025-11-02T16:28:10.148Z,1625.62,48.99,"$1,617.14","Windyun - 100 bolsas de vino de arpillera, bolsas de regalo con etiquetas, 5.9 x 13.8 pulgadas, bolsas de vino de yute lisas para bodas, cumpleaños, catas a ciegas, Navidad, viajes, fiestas (azul",https://www.amazon.com.mx/dp/B0CKN8CKSV,https://www.amazon.com/dp/B0CKN8CKSV,SIDE SHOP,QaooJung
,B0F3CHJ7SV,4,Hogar y Cocina,disponible,no disponible,,,2025-10-31T20:23:44.931Z,2025-11-01T16:52:23.446Z,2025-11-02T16:28:16.807Z,868,,$842.61,"Mooliwe 4 Pcs Diamond Painting Notebook for Adults, Diamond Art Journal DIY Art Kits Sets A5 Leather Painting Sketchbook Back to School Supplies Gifts for Adults Beginners(Bohemian)",https://www.amazon.com.mx/dp/B0F3CHJ7SV,https://www.amazon.com/dp/B0F3CHJ7SV,XIJIANG,
,B0DQ544PFF,4,Hogar y Cocina,disponible,no disponible,,,2025-10-31T20:23:44.931Z,2025-11-01T16:52:30.231Z,2025-11-02T16:28:24.819Z,2155.93,,"$1,905.25","Royal Luxe - Edredón de Fibra de plumón de Ganso – Relleno de edredón tamaño Queen, 100% algodón, edredón Ligero para Todas Las Estaciones, Ultra Suave y Lujosa, Ropa de Cama de Hotel, 88 x 88",https://www.amazon.com.mx/dp/B0DQ544PFF,https://www.amazon.com/dp/B0DQ544PFF,SIDE SHOP,
,B09Z2G7VH7,4,Hogar y Cocina,disponible,no disponible,,,2025-10-31T20:23:44.931Z,2025-11-01T16:52:38.181Z,2025-11-02T16:28:32.870Z,883.63,,$878.31,Valueflag ONEUS TRICKSTER 7º contenido del álbum y seguimiento sellado (JOKER),https://www.amazon.com.mx/dp/B09Z2G7VH7,https://www.amazon.com/dp/B09Z2G7VH7,Abundant Peace,
,B077JR2LZ4,4,Hogar y Cocina,disponible,no disponible,,,2025-10-31T20:23:44.931Z,2025-11-01T16:52:46.481Z,2025-11-02T16:28:39.830Z,3753.03,,"$3,773.26","Oldtown Farmhouse - Reloj de pared de metal y madera maciza, sin ruido, color blanco (60,96 cm)",https://www.amazon.com.mx/dp/B077JR2LZ4,https://www.amazon.com/dp/B077JR2LZ4,Lumexa Online MX,
,B0DCJHLRXM,4,Hogar y Cocina,disponible,no disponible,,,2025-10-31T20:23:44.931Z,2025-11-01T16:52:54.104Z,2025-11-02T16:28:47.831Z,1321.37,,"$1,306.65","Soporte para dispensador de agua de madera, (36.5 pulgadas de alto y 11.8 pulgadas de ancho, soporte de agua para dispensador de botellas de 1 a 5 galones, soporte para jarra de agua con 2 estantes",https://www.amazon.com.mx/dp/B0DCJHLRXM,https://www.amazon.com/dp/B0DCJHLRXM,M&H Customer Friendly Store,
,B0DLP5P2VF,4,Hogar y Cocina,disponible,disponible,,,2025-10-31T20:23:44.932Z,2025-11-01T16:53:02.970Z,2025-11-02T16:28:55.772Z,3129.28,109,"$3,112.97","HULKEN (pequeña, azul medianoche) Bolsa de comestibles reutilizable sobre ruedas, carrito de compras, bolsa rodante, cierre de cierre, ligera, lleva hasta 65 libras, se pliega",https://www.amazon.com.mx/dp/B0DLP5P2VF,https://www.amazon.com/dp/B0DLP5P2VF,SIDE SHOP,Hulken
,B0F1SWP84L,4,Hogar y Cocina,disponible,no disponible,,,2025-10-31T20:23:58.091Z,2025-11-01T16:53:10.920Z,2025-11-02T16:29:03.465Z,784,,$765.85,"Thenshop - Juego de 2 cuadernos de bocetos de papel negro con 12 rotuladores metálicos, bolsillo de viaje, pintura de tapa dura, cuaderno de escritura en blanco para pintores de diario (5.5 x 5.5",https://www.amazon.com.mx/dp/B0F1SWP84L,https://www.amazon.com/dp/B0F1SWP84L,XIJIANG,
,B0D3PTLYGK,4,Hogar y Cocina,disponible,no disponible,,,2025-10-31T20:23:58.091Z,2025-11-01T16:53:18.136Z,2025-11-02T16:29:10.601Z,3321.75,,"$3,305.80","DMWOODFL Espejo de cuerpo completo arqueado de 71 x 26 pulgadas con vidrio HD a prueba de explosiones, espejo de cuerpo completo montado en el piso o en la pared de gran tamaño para recámara, sala de",https://www.amazon.com.mx/dp/B0D3PTLYGK,https://www.amazon.com/dp/B0D3PTLYGK,SRKSB LLC,
,B07FDPZJDP,4,Hogar y Cocina,disponible,no disponible,,,2025-10-31T20:23:58.091Z,2025-11-01T16:53:26.325Z,2025-11-02T16:29:18.182Z,1935.13,,"$1,908.81","FirsTime & Co. - Reloj de Pared de Madera, 22.5 Pulgadas, Color Tostado, 243",https://www.amazon.com.mx/dp/B07FDPZJDP,https://www.amazon.com/dp/B07FDPZJDP,GREENJIN,
,B0DFX1LXRV,4,Hogar y Cocina,disponible,no disponible,,,2025-10-31T20:23:58.091Z,2025-11-01T16:53:35.660Z,2025-11-02T16:29:25.918Z,1441.32,,"$1,421.11","DMWOODFL Espejo de longitud completa arqueado de 58 x 18 pulgadas, de pie o montado en la pared con soporte, marco de aluminio y vidrio a prueba de roturas, espejo no empotrado dorado para recámara",https://www.amazon.com.mx/dp/B0DFX1LXRV,https://www.amazon.com/dp/B0DFX1LXRV,M&H Customer Friendly Store,
,B0DPPPVRSW,4,Hogar y Cocina,disponible,no disponible,,,2025-10-31T20:23:58.091Z,2025-11-01T16:53:50.559Z,2025-11-02T16:29:39.060Z,782.94,,$783.78,"Greatshoot Colored Poster Board 50Pcs, 11.7x16.5 10 Assorted Color Poster Paper, 230G Thickness Poster Board Bulk for School Arts & Crafts, DIY Art, Signs, Small Posters, Exhibits,Notices, and More",https://www.amazon.com.mx/dp/B0DPPPVRSW,https://www.amazon.com/dp/B0DPPPVRSW,SIDE SHOP,
