also_appears_in,asin,batch_number,category,disponibilidad_mx,error_verificacion_mx,extracted_at,fecha_verificacion_mx,precio_actual_mx,price,title,url_mx,vendedor_actual_mx
,B0D7JJD2CH,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:32.705Z,2025-11-03T19:49:29.386Z,1287.58,"$1,329.51","Algae Cooking Club Aceite de cocina 100 % de algas de calidad de chef, punto de humo alto de 535 F, alto oleico, neutro, sin aceite de semilla, versátil, para freír, asar a la parrilla, hornear y ensa",https://www.amazon.com.mx/dp/B0D7JJD2CH,SRKSB LLC
,B07XJRP647,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:32.705Z,2025-11-03T19:49:37.476Z,1715.67,"$1,813.75","Monk Drops – 100% edulcorante líquido de monjes, cero glicémica, cero calorías, cero azúcar, sin agua añadida, fruta de monje concentrada (350 porciones) 8 Fl Oz (Pack of 1)",https://www.amazon.com.mx/dp/B07XJRP647,NEW AGE SHOPPING
,B0CWJ1CHKF,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:32.706Z,2025-11-03T19:49:47.227Z,1635,"$1,635.01","MALK Leche de almendras orgánica sin azúcar - 32 fl oz - Paquete de 6 - Sin OGM, aprobada por Whole 30, sin lácteos - 32 onzas líquidas",https://www.amazon.com.mx/dp/B0CWJ1CHKF,Holaproducto
,B09KZ4BW72,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:32.706Z,2025-11-03T19:49:56.989Z,1156.73,"$1,156.74","NEW ZEALAND HONEY CO Nueva Zelanda Honey Co. Miel De Manuka Cruda Umf 20+ | Mgo 829+, Certificado Umf/4.4Oz",https://www.amazon.com.mx/dp/B09KZ4BW72,✨Aurorix A
,B09WTZRV6Z,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:32.706Z,2025-11-03T19:50:05.481Z,738.21,$758.25,"Graza Rocíe Aceite De Oliva Virgen Extra, Aceite De Acabado - Aceite De Acabado De Aove De Cosecha Temprana Con Alto Polifenol En Una Botella Exprimible - Aceites De Oliva De Origen Único De",https://www.amazon.com.mx/dp/B09WTZRV6Z,SRKSB LLC
,B08BTN8BD5,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:32.706Z,2025-11-03T19:50:13.945Z,688.89,$804.04,"52USA Shaoxing Cooking Wine, vino chino de cocina, vino Shaoxing (regular, paquete de 1)",https://www.amazon.com.mx/dp/B08BTN8BD5,✨Aurorix A
,B0CB4W897C,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:32.706Z,2025-11-03T19:50:23.208Z,1599.44,"$1,670.88","Baja Gold Sal Marina Mineral, Moler Fino, 5 Lb. Bolsa",https://www.amazon.com.mx/dp/B0CB4W897C,SRKSB LLC
,B0CLYRN7GC,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:32.706Z,2025-11-03T19:50:31.370Z,1159.78,"$1,284.03","Ventura Foods Aceite De Palomitas De Maíz Premium Mantecoso Louana, Galón",https://www.amazon.com.mx/dp/B0CLYRN7GC,MARVEL INC.
,B0BY94762R,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:32.706Z,2025-11-03T19:50:40.649Z,624.94,$653.73,"Grelim Polvo De Camote Morado Premium 8 Oz, Ube Natural Puro (Ñame Morado) Polvo Sin Gluten Vegano Sin Ogm Polvo Colorante Alimenticio Morado 227G",https://www.amazon.com.mx/dp/B0BY94762R,SRKSB LLC
,B082XK9RQF,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:32.706Z,2025-11-03T19:50:49.170Z,515.38,$539.38,"Palermo Papa Honeycomb 100% Comestible, Totalmente Natural, Panal Gourmet Crudo, Sin Aditivos, Sin Conservantes - 7 Oz",https://www.amazon.com.mx/dp/B082XK9RQF,SRKSB LLC
,B0CWVRSNDF,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:32.707Z,2025-11-03T19:50:56.971Z,1283.21,"$1,330.47","Aceite de oliva virgen extra Graza en paquete variado, para sizzle & Drizzle: aceite de oliva para cocinar y terminar con alto contenido de polifenoles Peak Harvest en una botella exprimible:",https://www.amazon.com.mx/dp/B0CWVRSNDF,✨Aurorix A
,B0D94TJPNK,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:32.707Z,2025-11-03T19:51:05.566Z,662.73,$683.21,"Sante Naturelle Sal Marina Francesa Molida Fina - 1.1Lb (18Oz) Sal Mineral, Sal Marina Francesa Sin Refinar Orgánica, Sal Minerales 82+ Cosechada A Mano, Sal Marina 100% Natural",https://www.amazon.com.mx/dp/B0D94TJPNK,NEW AGE SHOPPING
,B0D933SXY6,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:32.707Z,2025-11-03T19:51:14.662Z,775.22,$796.12,"CAMPO D'ORO Paquete De 2 - Mantequilla De Crema De Pistacho, Dulce, 2 X 6.35 Oz (180 G), Ingrediente Premium Para Elaborar Barra De Chocolate De Pistacho Knafeh, Crema De Pistacho Dulce Sici",https://www.amazon.com.mx/dp/B0D933SXY6,KRONOS STORE
,B0BVPPY8RN,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:32.707Z,2025-11-03T19:51:22.714Z,610.47,$638.63,"Sujoygar Brillo Brillo Comestible Para Cócteles Tortas Bebidas Chocolates Cupcakes - Juego De 6 Colores, Polvo De Brillo Dorado Comestible, Bebida Brillo Cóctel, Decoración De Pastel Comesti",https://www.amazon.com.mx/dp/B0BVPPY8RN,SRKSB LLC
,B0D5JQ2KQ8,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:32.707Z,2025-11-03T19:51:32.182Z,673.1,$673.12,"Naturegrail Corteza De Copalchi (Corteza De Copalchi Cortada Del Tronco O Tallo) - Hecho De 100% Coutarea Latiflora, Peso Neto: 1.5Oz/42.5G",https://www.amazon.com.mx/dp/B0D5JQ2KQ8,Boon Shopping
,B0D4Q56LTV,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:32.707Z,2025-11-03T19:51:40.762Z,572.19,$588.04,"Sakura Box Matcha Milk Uji Double Rich Latte de Tsujiri, bolsa resellable de 160 g. Fabricado en Kioto, Japón.",https://www.amazon.com.mx/dp/B0D4Q56LTV,SRKSB LLC
,B07RQHB4T8,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:43.821Z,2025-11-03T19:51:50.082Z,1434.5,"$1,482.69","ROSSO CAFFÈ Cápsulas Espresso Para Máquinas Nespresso - Paquete De 120 Cápsulas De Café - Aluminio Premium - Desayuno, Medio Y Tostado Oscuro",https://www.amazon.com.mx/dp/B07RQHB4T8,FEEL EXTRA MX
,B0888BVH8T,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:43.822Z,2025-11-03T19:51:58.838Z,1982.23,"$1,982.24","Táche Leche de pistacho - Mezcla Barista - Rica, cremosa, ligeramente dulce, crema vegetal para café y leche - Sin lácteos, sin gluten, vegana, sin aceites (32 oz, paquete de 6)",https://www.amazon.com.mx/dp/B0888BVH8T,Holaproducto
,B09KZP9YLC,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:43.822Z,2025-11-03T19:52:06.835Z,1654.36,"$1,691.01",NEW ZEALAND HONEY CO Nueva Zelanda Honey Co. Miel De Manuka Cruda Umf 24+ | Mgo 1122+/4.4Oz | 125G,https://www.amazon.com.mx/dp/B09KZP9YLC,AUTO MATE
,B01DTH9K0G,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:43.822Z,2025-11-03T19:52:14.634Z,744.5,$763.28,"Calming Blends té Diverticulitis y Diverticulosis, orgánico certificado, última intervensión de cafeína, 2 oz",https://www.amazon.com.mx/dp/B01DTH9K0G,ArtBlue
,B0CP9Q47LK,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:43.822Z,2025-11-03T19:52:28.278Z,1000.73,"$1,040.64","DureLife Edulcorante orgánico 100 % puro de fruta del monje Durelife, sin eritritol, polvo de extracto de fruta del monje, verificado por el USDA orgánico NON-GMO Project, certificado Keto, OU ko",https://www.amazon.com.mx/dp/B0CP9Q47LK,Abundant Peace
,B0BTBWXPVT,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:43.822Z,2025-11-03T19:52:36.567Z,478.53,$513.01,"ERCorArt Aceite Aromatizante De Alimentos - Sabores Concentrados De Caramelo, 6 Aceite Aromatizante Líquido De Brillo De Labios, Aceite Sabor A Piña De Algodón De Azúcar Para Hornear, Cocina",https://www.amazon.com.mx/dp/B0BTBWXPVT,SRKSB LLC
,B073QYSD44,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:43.822Z,2025-11-03T19:52:44.405Z,915.91,$940.68,"Francine Farine de Ble Bio - Harina de trigo orgánica multiusos francesa, 2.2 libras (Paquete de 2)",https://www.amazon.com.mx/dp/B073QYSD44,ProductosTX ⭐ ⭐ ⭐ ⭐ ⭐
,B09BM9ZGF3,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:43.822Z,2025-11-03T19:52:52.949Z,466.31,$507.26,Dot's Homestyle Pretzels de mostaza con miel,https://www.amazon.com.mx/dp/B09BM9ZGF3,Holaproducto
,B0971V7MGW,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:43.822Z,2025-11-03T19:53:01.568Z,1691.24,"$1,770.84","LAUDEMIO Toscana con alto contenido de polifenoles +650 mg/kg de aceite de oliva virgen extra, robusto, verde, fresco, nuevo cosecha temprana 2024-2025, prensado en frío, monovarietal Frantoio",https://www.amazon.com.mx/dp/B0971V7MGW,NEW AGE SHOPPING
,B0CQPR8QFW,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:43.823Z,2025-11-03T19:53:10.392Z,1454.99,"$1,458.94","DureLife Edulcorante orgánico 100 % puro de fruta del monje Durelife, sin eritritol, extracto de fruta del monje en polvo, verificado por el USDA orgánico NON-GMO Project, certificado Keto OU kos",https://www.amazon.com.mx/dp/B0CQPR8QFW,qiuxushenzen8511xdsw
,B0BVG7T3CT,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:43.823Z,2025-11-03T19:53:17.431Z,622.07,$622.08,Danodia Foods Asafetida India En Polvo 1.8 Oz (50G) (Hing) | Muy Fuerte (Potente) Y Sin Gluten | Condimento Indio | Reemplaza Ajo Y Cebolla - Botella De Vidrio,https://www.amazon.com.mx/dp/B0BVG7T3CT,MARVEL INC.
,B0CC3WV5VC,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:43.823Z,2025-11-03T19:53:26.483Z,1049.42,"$1,049.43",MADRE SELVA Café Colombiano Especialidad Geisha Gesha Granos Enteros Tostado Medio Calidad Gourmet Fresco Origen Único 100% Café De Colombia Café Arábica Seleccionado Café Madre Selva 8.8 Oz/250G,https://www.amazon.com.mx/dp/B0CC3WV5VC,MARVEL INC.
,B0CYT1G75K,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:43.823Z,2025-11-03T19:53:35.993Z,836.21,$938.52,"Hethstia Konjac Noodle Instant Tom Yum Soup Cup Shirataki Pasta Cabello De Ángel Listo Para Comer Tom Yum Caldo De Fideos Low Carb Miracle Noodles Aisa Ramen Low Gi, Comida Saludable Regalos",https://www.amazon.com.mx/dp/B0CYT1G75K,BEFATEK
,B0D6NLVJY3,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:43.823Z,2025-11-03T19:53:44.417Z,1500.27,"$1,508.18","Thai Coco - Bebida de leche de coco original con Nata De Coco - 9.8 fl. oz. Paquete de 12 9,8 onzas líquidas (paquete de",https://www.amazon.com.mx/dp/B0D6NLVJY3,Rendomin
,B0CCQQGXRQ,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:43.823Z,2025-11-03T19:53:51.671Z,1710.67,"$1,809.20","kyoord Aceite De Oliva Virgen Extra Alto Fenólico - Sin Filtrar, Prensado En Frío, Cosecha Temprana - Pipery, Robusto, Notas Verdes - Empaquetado Con Polifenoles, Oleocantal, Antioxidantes,",https://www.amazon.com.mx/dp/B0CCQQGXRQ,BROWN LEAVES LLC
,B08MH1VFH8,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:43.823Z,2025-11-03T19:54:01.031Z,1341.67,"$1,374.82","Ripple- Leche vegetal original | 8 g de proteína de guisante de calidad, rica en calcio | Conservación estable | Vegana y sin gluten",https://www.amazon.com.mx/dp/B08MH1VFH8,NOVA SHOP MX
,B00GA07HAK,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:52.080Z,2025-11-03T19:54:09.475Z,1380.12,"$1,405.98","VEGAN MILKER CLASSIC (by Chufamix), utensilio para hacer leches vegetales con cualquier semilla. Elabora 1 litro en 1 minuto. Hecho en España. Ver video y libro de Recetas gratis en la web Vegan Milker",https://www.amazon.com.mx/dp/B00GA07HAK,qiuxushenzen8511xdsw
,B00275H6JE,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:52.080Z,2025-11-03T19:54:18.353Z,1099.42,"$1,113.36","Castillo De Canena Aceite de oliva virgen extra (17 onzas) Arbequina prensado en frío | Perfil rico y audaz de sabor | Pan, sopa, pasta, aderezo de ensalada, verduras | español",https://www.amazon.com.mx/dp/B00275H6JE,BROWN LEAVES LLC
,B0DCJ3MM35,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:52.080Z,2025-11-03T19:54:27.502Z,799,"$1,128.62","Bum Energy Bebida energética sin azúcar BUM, limonada rosa, ligeramente carbonatada y sin colorantes artificiales, cafeín Paquete de 12""",https://www.amazon.com.mx/dp/B0DCJ3MM35,FITSTORE DE MEXICO S.A. DE C.V.
,B0D6Z5DZ3X,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:52.080Z,2025-11-03T19:54:34.897Z,666.8,$683.21,"Besway Anís Estrellado Chino 12 Oz, Anís Estrellado Entero, Vainas De Anís Fresco, Puro Y Seco, Ideal Para Cocinar, Hornear Y Té (340G)",https://www.amazon.com.mx/dp/B0D6Z5DZ3X,SRKSB LLC
,B0BZCM5234,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:52.080Z,2025-11-03T19:54:43.218Z,1229.8,"$1,292.35","Keto Naturals Leche Condensada Sin Azúcar Keto (6 Paquetes) Leche Condensada Vegana De Coco - Leche A Base De Plantas, Vegana Y Keto Friendly. Leche De Coco Condensada En Calorías Más Bajas.",https://www.amazon.com.mx/dp/B0BZCM5234,NEW AGE SHOPPING
,B0DNGMCRBQ,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:52.080Z,2025-11-03T19:54:52.039Z,725.54,$738.11,"KickBallz Chicle energético con canela y cafeína | Extra fuerte, 110 mg por chicle | Acción rápida | Sabor increíble | Refresca el aliento | Sin azúcar | Sin gluten | Hecho en EE. UU.",https://www.amazon.com.mx/dp/B0DNGMCRBQ,Rendomin
,B0CLW93XCH,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:52.080Z,2025-11-03T19:54:59.903Z,851.16,$888.42,"HEAVEN & EARTH Jarabe De Dátiles 100% Orgánico, Silan (3.3 Lb) 52.8Oz | 1 Ingrediente | Alternativa A La Miel Natural | Bajo Índice Glucémico | Gran Reemplazo De Azúcar | Miel De Dátiles Org",https://www.amazon.com.mx/dp/B0CLW93XCH,FuCai Official
,B07CBPL26R,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:52.081Z,2025-11-03T19:55:07.502Z,1274.62,"$1,274.63","Johnny's Fine Foods, Great César, 32 oz (2 unidades)",https://www.amazon.com.mx/dp/B07CBPL26R,ProductosTX ⭐ ⭐ ⭐ ⭐ ⭐
,B0CQC3SZFC,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:52.081Z,2025-11-03T19:55:20.056Z,738.65,$789.41,"GASVM- Maquinilla de afeitar de barbero de borde recto profesional, navajas de afeitar rectas para hombres, afeitadora de acero inoxidable de primera calidad Razo",https://www.amazon.com.mx/dp/B0CQC3SZFC,MS STORE'S
,B075CRGLNY,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:52.081Z,2025-11-03T19:55:29.914Z,554.87,$554.88,"Fever-Tree Premium Agua tónica india, latas de 5.07 onzas (Paquete de 8)",https://www.amazon.com.mx/dp/B075CRGLNY,Corner Stone LLC
,B0CBVWYMR2,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:52.081Z,2025-11-03T19:55:37.260Z,647.46,$663.80,"Eupherbia VERSAINSECT Salt, Coarse, 3.5 Oz, Rare and Premium, Natural, Unprocessed, Potassium-rich Gourmet Seasoning, Heart Friendly, Packed with Trace Minerals, Mined from Ancient Dried Seas, Kosher Certified, 100g",https://www.amazon.com.mx/dp/B0CBVWYMR2,MARVEL INC.
,B00338DPF8,1,Alimentos y Bebidas,disponible,,2025-11-03T14:43:52.081Z,2025-11-03T19:55:45.311Z,1643.21,"$1,592.74","Barilla Collezione Pasta, tres quesos Tortellini",https://www.amazon.com.mx/dp/B00338DPF8,✨Aurorix A
