also_appears_in,asin,batch_number,category,disponibilidad_mx,disponibilidad_usa,error_verificacion_mx,error_verificacion_usa,extracted_at,fecha_verificacion_mx,fecha_verificacion_usa,precio_actual_mx,precio_actual_usd,price,title,url_mx,url_usa,vendedor_actual_mx,vendedor_actual_usa
,B07GBYTLPQ,4,Herramientas y Mejoras del Hogar,disponible,no disponible,,,2025-10-17T22:00:02.020Z,2025-10-27T13:49:35.790Z,2025-10-28T02:31:24.466Z,1581.43,,"$1,607.22","Ultrawall Sistema de Almacenamiento para Utensilios de cochera, 12 Piezas, Organizador de Herramientas con Ganchos, Percha de Ropa",https://www.amazon.com.mx/dp/B07GBYTLPQ,https://www.amazon.com/dp/B07GBYTLPQ,HNEN,
,B09J4BSXJD,4,Herramientas y Mejoras del Hogar,disponible,no disponible,,,2025-10-17T22:00:02.020Z,2025-10-27T13:49:43.476Z,2025-10-28T02:31:33.507Z,1246.57,,"$1,244.53","Wokyy - Destornillador de pared, soporte para alicates de bambú, soporte para martillo, estante de pared, almacenamiento de herramientas para taller de cochera, paquete de 3",https://www.amazon.com.mx/dp/B09J4BSXJD,https://www.amazon.com/dp/B09J4BSXJD,SRKSB LLC,
,B09YLPSC8P,4,Herramientas y Mejoras del Hogar,disponible,disponible,,,2025-10-17T22:00:02.020Z,2025-10-27T13:49:50.809Z,2025-10-28T02:31:41.311Z,709.15,23.99,$951.35,"UNITEDPOWER Estante de almacenamiento de taladro eléctrico, capacidad para 4 taladros, organizador de herramientas eléctricas de montaje en pared mejorado 2022 para taller, cobertizo, cochera, hogar",https://www.amazon.com.mx/dp/B09YLPSC8P,https://www.amazon.com/dp/B09YLPSC8P,Amazon Estados Unidos,Lamber Craft Innovations
,B09VKHVTSX,4,Herramientas y Mejoras del Hogar,disponible,disponible,,,2025-10-17T22:00:02.020Z,2025-10-27T13:49:58.382Z,2025-10-28T02:31:48.734Z,1056.34,26.97,"$1,070.39","AIRTOON - Organizador de herramientas de doble cara con polímero resistente a los impactos, almacenamiento de caja de hardware, excelente para tornillos, tuercas, piezas pequeñas, 34 compartimentos",https://www.amazon.com.mx/dp/B09VKHVTSX,https://www.amazon.com/dp/B09VKHVTSX,SRKSB LLC,AIRTOON
,B09P6JSQCS,4,Herramientas y Mejoras del Hogar,disponible,no disponible,,,2025-10-17T22:00:02.020Z,2025-10-27T13:50:06.672Z,2025-10-28T02:31:55.921Z,654.14,,$661.35,SANIKLITE - Funda para taladro inalámbrico,https://www.amazon.com.mx/dp/B09P6JSQCS,https://www.amazon.com/dp/B09P6JSQCS,SRKSB LLC,
,B0979R2LCC,4,Herramientas y Mejoras del Hogar,disponible,disponible,,,2025-10-17T22:00:02.020Z,2025-10-27T13:50:14.562Z,2025-10-28T02:32:04.930Z,1001.22,30,"$1,002.22",Strongarm Blue Welding Apron Flame Resistant Arc-Rated with X-tech Comfort Fastening Straps 24x36 (2023 Version),https://www.amazon.com.mx/dp/B0979R2LCC,https://www.amazon.com/dp/B0979R2LCC,SRKSB LLC,DMP Leather
,B07M5DHPDN,4,Herramientas y Mejoras del Hogar,disponible,disponible,,,2025-10-17T22:00:02.020Z,2025-10-27T13:50:22.223Z,2025-10-28T02:32:13.502Z,1597.46,44.99,"$1,617.86","Ultrawall - Estante de esquí montado en la pared de 24 pulgadas, soporta hasta 300 libras, acero recubierto de polvo con revestimiento de goma, espaciado personalizable, fácil instalación",https://www.amazon.com.mx/dp/B07M5DHPDN,https://www.amazon.com/dp/B07M5DHPDN,SRKSB LLC,Ultrawall
,B094V9X73S,4,Herramientas y Mejoras del Hogar,disponible,no disponible,,,2025-10-17T22:00:02.020Z,2025-10-27T13:50:30.647Z,2025-10-28T02:32:21.812Z,800.7,,$784.55,"Soporte de pared para esquís, snowboard, soporte de pared para 5 pares de bastones de esquí o snowboard, para casa y garaje",https://www.amazon.com.mx/dp/B094V9X73S,https://www.amazon.com/dp/B094V9X73S,Boon Shopping,
,B0DF7F9W7V,4,Herramientas y Mejoras del Hogar,disponible,no disponible,,,2025-10-17T22:00:02.020Z,2025-10-27T13:50:38.505Z,2025-10-28T02:32:30.595Z,1727.18,,"$1,755.13","Xankzi Organizador de herramientas eléctricas con soporte de pared para estación de carga, organización ampliada de cochera resistente, almacenamiento grande para herramientas de cochera (rojo, 3-1 A)",https://www.amazon.com.mx/dp/B0DF7F9W7V,https://www.amazon.com/dp/B0DF7F9W7V,SRKSB LLC,
,B07GZ9GNFQ,4,Herramientas y Mejoras del Hogar,disponible,no disponible,,,2025-10-17T22:00:02.021Z,2025-10-27T13:50:45.840Z,2025-10-28T02:32:39.339Z,1291.54,,"$1,250.98","Ultrawall Organizador de herramientas de jardín, organizador de herramientas de cochera de 48 pulgadas, soporte de pared de acero resistente para herramientas, capacidad de peso de 400 libras",https://www.amazon.com.mx/dp/B07GZ9GNFQ,https://www.amazon.com/dp/B07GZ9GNFQ,Boon Shopping,
