also_appears_in,asin,batch_number,category,disponibilidad_mx,disponibilidad_usa,error_verificacion_mx,error_verificacion_usa,extracted_at,fecha_verificacion_mx,fecha_verificacion_usa,precio_actual_mx,precio_actual_usd,price,title,url_mx,url_usa,vendedor_actual_mx,vendedor_actual_usa
,B0FCM4LT6G,1,Automotriz y Motocicletas,disponible,no disponible,,,2025-10-29T21:58:30.506Z,2025-10-30T02:18:41.082Z,2025-10-30T14:28:57.217Z,819.41,,$827.44,"Parche de rejilla lateral frontal compatible con Toyota Tacoma 2024 2025 – Mejora el estilo del camión, ajuste personalizado, accesorios Tacoma de 4ª generación, calcomanías de rejilla delantera para",https://www.amazon.com.mx/dp/B0FCM4LT6G,https://www.amazon.com/dp/B0FCM4LT6G,Abundant Peace,
,B0053CS4I0,1,Automotriz y Motocicletas,disponible,no disponible,,,2025-10-29T21:58:30.507Z,2025-10-30T02:18:52.238Z,2025-10-30T14:29:07.630Z,667,,$665.60,Forever Car Products - Gel negro para coche,https://www.amazon.com.mx/dp/B0053CS4I0,https://www.amazon.com/dp/B0053CS4I0,Natural  Mx ⭐ (Facturamos),
,B0CKXF3RST,1,Automotriz y Motocicletas,disponible,disponible,,,2025-10-29T21:58:30.507Z,2025-10-30T02:19:00.247Z,2025-10-30T14:29:16.588Z,4641.33,199.9,"$4,957.16","[2024 Fully Laminated Screen] CarpodGo T3 Pro Portable 60fps Wireless Carplay Android Auto,8.9 Inch 1920 * 720 IPS Touch Screen Car Stereo,Display-Only BT Mode Supports Steering Wheel Controls",https://www.amazon.com.mx/dp/B0CKXF3RST,https://www.amazon.com/dp/B0CKXF3RST,SEONGSAN,CarpodGo
,B0BQT1JLWM,1,Automotriz y Motocicletas,disponible,no disponible,,,2025-10-29T21:58:30.507Z,2025-10-30T02:19:09.087Z,2025-10-30T14:29:23.366Z,1729.33,,"$1,682.00","Insertos de calcomanía para portón trasero, compatible con Maverick 2022-2026",https://www.amazon.com.mx/dp/B0BQT1JLWM,https://www.amazon.com/dp/B0BQT1JLWM,BROWN LEAVES LLC,
,B0CTJX5CTQ,1,Automotriz y Motocicletas,disponible,no disponible,,,2025-10-29T21:58:30.507Z,2025-10-30T02:19:17.470Z,2025-10-30T14:29:31.924Z,2692.77,,"$2,659.24","Sekeseauto Protector de salpicaduras inferior del motor, apto para Honda Civic 2012, apto para Acura ILX 2013, reemplazo# 74110-TR3-A10, 74110TR3A10, cubierta inferior del coche",https://www.amazon.com.mx/dp/B0CTJX5CTQ,https://www.amazon.com/dp/B0CTJX5CTQ,Meka Storee,
,B07PXCTPV7,1,Automotriz y Motocicletas,disponible,no disponible,,,2025-10-29T21:58:30.507Z,2025-10-30T02:19:26.468Z,2025-10-30T14:29:39.676Z,759,,$806.94,BG 44k Platinum Nuevo,https://www.amazon.com.mx/dp/B07PXCTPV7,https://www.amazon.com/dp/B07PXCTPV7,SUSDEMEXOFICIAL,
,B0D4HRY3PD,1,Automotriz y Motocicletas,disponible,no disponible,,,2025-10-29T21:58:30.507Z,2025-10-30T02:19:33.946Z,2025-10-30T14:29:48.373Z,1246.6,,"$1,177.36","Dtomi - Moldura para cinturón de puerta delantera, izquierda y derecha, compatible con Dodge Vehicle Challenger 2008-2016, 2 puertas, repuesto # 55399122AG 55399123AG",https://www.amazon.com.mx/dp/B0D4HRY3PD,https://www.amazon.com/dp/B0D4HRY3PD,LueKeen,
,B0DN9TJNLG,1,Automotriz y Motocicletas,disponible,no disponible,,,2025-10-29T21:58:30.507Z,2025-10-30T02:19:41.832Z,2025-10-30T14:29:55.243Z,595.23,,$574.98,"RSACET - Pintura de retoque compatible con Mazda, color exacto para reparar rayones en carrocería de coche, Soul Red Metallic Tricoat 41V",https://www.amazon.com.mx/dp/B0DN9TJNLG,https://www.amazon.com/dp/B0DN9TJNLG,MARVEL INC.,
,B0D3XYKW9J,1,Automotriz y Motocicletas,disponible,no disponible,,,2025-10-29T21:58:30.507Z,2025-10-30T02:19:49.617Z,2025-10-30T14:30:03.301Z,1274.82,,"$1,248.02","KPY Visera para Ventana Compatible con Toyota Prius 2016-2022, Protector de Lluvia para Ventanas Laterales Estilo de Adhesión, 2016 2017 2018 2019 2020 2021 2022",https://www.amazon.com.mx/dp/B0D3XYKW9J,https://www.amazon.com/dp/B0D3XYKW9J,DUKKI LLC,
,B08BRBF5NV,1,Automotriz y Motocicletas,disponible,no disponible,,,2025-10-29T21:58:30.508Z,2025-10-30T02:19:57.539Z,2025-10-30T14:30:11.743Z,1503,,"$1,431.54","Superior Products Dark Fury (anteriormente rabia), 3.78 L",https://www.amazon.com.mx/dp/B08BRBF5NV,https://www.amazon.com/dp/B08BRBF5NV,LueKeen,
,B0DN9QX2FC,1,Automotriz y Motocicletas,disponible,no disponible,,,2025-10-29T21:58:30.508Z,2025-10-30T02:20:06.375Z,2025-10-30T14:30:19.563Z,538.43,,No disponible,"RSACET - Pintura de retoque compatible con Mazda, color exacto para reparar rayones en carrocería de coche, Polymetal Gray Metallic 47C",https://www.amazon.com.mx/dp/B0DN9QX2FC,https://www.amazon.com/dp/B0DN9QX2FC,M&H Customer Friendly Store,
,B0D4LVPWKK,1,Automotriz y Motocicletas,disponible,no disponible,,,2025-10-29T21:58:30.508Z,2025-10-30T02:20:13.502Z,2025-10-30T14:30:26.537Z,1097.42,,"$1,088.45","4 correas de sellado para ventana, adecuadas para Honda Civic 2012-2015, 4 puertas, reemplaza #72450-TR0-A01 72410-TR0-A01 72950-TR0-A01 72950-TR0-A01 72910-TR0-A01",https://www.amazon.com.mx/dp/B0D4LVPWKK,https://www.amazon.com/dp/B0D4LVPWKK,SRKSB LLC,
,B0D4M3DV3D,1,Automotriz y Motocicletas,disponible,disponible,,,2025-10-29T21:58:30.508Z,2025-10-30T02:20:22.654Z,2025-10-30T14:30:34.630Z,1219.09,35.99,"$1,133.56","ItranMc - Correa de moldura para ventana de coche, compatible con Honda Civic 2016-2021 Sedán de 4 puertas, reemplazo#72450-TEA-T01 72410-TEA-T01 72950-TEA-T01 72910-TEA-T01",https://www.amazon.com.mx/dp/B0D4M3DV3D,https://www.amazon.com/dp/B0D4M3DV3D,MARVEL INC.,ItranMC
