"asin","precio_actual_mx","precio_actual_usd","price","title","precio_sugerido","url_usa","vendedor_actual_mx","vendedor_actual_usa","precio_competitivo"
"B06XCPLZQV",3467.75,69,"$3,424.16","Ubabub Bandeja cambiadora extraíble para Nifty en blanco cálido","3198.32","https://www.amazon.com/dp/B06XCPLZQV","SEONGSAN",,"3267.75"
"B0D4JXGG7L",2109.55,29.94,"$1,575.98","Almohada de embarazo, de cuerpo completo, de 57 pulgadas, con funda extraíble lavable, soporte para dormir para piernas, espalda, cuello, hombros, caderas, vientre para mujeres embarazadas, nailon,","1566.00","https://www.amazon.com/dp/B0D4JXGG7L","Amazon Europa","Alloperas","2009.55"
"B087JNFV2T",4137.94,18.04,"$865.37","Boladeci - Camisetas de manga larga con capucha UPF 50+ protección UV de secado rápido, para verano, pesca, senderismo, natación","1068.70","https://www.amazon.com/dp/B087JNFV2T","BG3 STORE","GOFEAT","3937.94"
"B0BVGNPZ78",1713.98,23.99,"$777.19","NORTHYARD - Pantalones cortos deportivos de baloncesto para hombre, 5 pulgadas, 7 pulgadas, de 10 pulgadas, para entrenamiento, gimnasio, secado rápido, pantalones cortos ligeros de malla para correr, tenis","1317.35","https://www.amazon.com/dp/B0BVGNPZ78","Merrow","NORTHYARD","1613.98"
"B0CN4PPF5F",747,8.99,"$493.50","200 bridas de cables reutilizables de 4 pulgadas, correas de cable multiusos para atar, cable y organizador de cables utilizados para auriculares, teléfonos, hogar, oficina y centros de datos","690.50","https://www.amazon.com/dp/B0CN4PPF5F","NEXUSMART ME","iHappier","690.50"
"B0CPYFRQSH",1350.94,24.49,"$1,349.56","awliye Brida de piso de 1 pulgada, paquete de 20 piezas de brida de hierro fundido clásico de 2,5 cm, accesorios de tubería negra","1338.25","https://www.amazon.com/dp/B0CPYFRQSH","SEONGSAN","ahliye","1338.25"
"B0D93DBQKM",3396.54,73.14,"$3,419.46","Pevfah Crystal - Lámpara de techo redonda chapada en cromo, moderno candelabro de 3 luces, 15.7 x 10.7 pulgadas, transparente, para sala de estar, pasillo, baño, cocina, recámara","3371.33","https://www.amazon.com/dp/B0D93DBQKM","SRKSB LLC","Pevfah","3371.33"
"B0D7S35DLD",1053.4,16.99,"$1,104.75","AINIYNM - Papelera de reciclaje para cocina de 26 galones y 100 litros con tapa, bolsa extraíble grande de reciclaje con tapa para botella, lata de cocina, cubeta de reciclaje (gris oscuro)","1024.82","https://www.amazon.com/dp/B0D7S35DLD","SEONGSAN","qianhu us","1024.82"
"B0DJJ9GVTC",2497.43,52.19,"$2,282.40","HZXGCP - Olivo sintético de 5 pies, árboles artificiales para decoración del hogar en interiores con ramas ajustables y frutas realistas, fácil de montar, bajo mantenimiento (olivo multipolo, 5 pies)","2495.83","https://www.amazon.com/dp/B0DJJ9GVTC","SEONGSAN","YONGNENG","2495.83"
"B08X2R5VW4",823,9.99,"$605.91","Luolizon - Diario para gatos para niñas con candado y 2 llaves, juego de regalo para niños con bolígrafo multicolor, 80 hojas con forro de corazón dulce","732.29","https://www.amazon.com/dp/B08X2R5VW4","XIJIANG","ya zhong","732.29"
"B0DBQ6QXMG",706,7.99,"$567.41","Paquete de 4 bloc de notas magnéticas para nevera con soporte para bolígrafos, lista de tareas magnéticas, lista de comestibles, lista de compras, almohadillas para orejas de notas para refrigerador","648.71","https://www.amazon.com/dp/B0DBQ6QXMG","XIJIANG","LiranAM","648.71"
"B0D93PJYW7",1026,7.99,"$461.29","Cuaderno de diario con espiral para hombres y mujeres, diario A5, 170 páginas, cuadernos de tapa dura para trabajo y toma de notas, diarios con rayas universitarias para escribir, rosa","648.71","https://www.amazon.com/dp/B0D93PJYW7",,"Nextnoid","926.00"
