also_appears_in,asin,batch_number,category,disponibilidad_mx,disponibilidad_usa,error_verificacion_mx,error_verificacion_usa,extracted_at,fecha_verificacion_mx,fecha_verificacion_usa,precio_actual_mx,precio_actual_usd,price,title,url_mx,url_usa,vendedor_actual_mx,vendedor_actual_usa
,B0CB4X5TDP,1,Alimentos y Bebidas,disponible,disponible,,,2025-10-13T18:50:16.496Z,2025-10-14T14:49:44.494Z,2025-10-16T03:25:38.905Z,650,19.99,$766.03,"Baja Gold Sal Marina Mineral, Moler Fino, 1 Lb. Bolsa",https://www.amazon.com.mx/dp/B0CB4X5TDP,https://www.amazon.com/dp/B0CB4X5TDP,The mystics,SeaAgri Solutions
,B07DV3427Q,1,Alimentos y Bebidas,disponible,disponible,,,2025-10-13T18:50:16.496Z,2025-10-14T14:49:54.985Z,2025-10-16T03:25:50.641Z,571.25,10.99,$568.46,"Al Amira - Kri Kri Kri, 450G (cacahuetes recubiertos libaneses)",https://www.amazon.com.mx/dp/B07DV3427Q,https://www.amazon.com/dp/B07DV3427Q,SRKSB LLC,Commerce Foods
,B0DXN8FYQY,1,Alimentos y Bebidas,disponible,disponible,,,2025-10-13T18:50:16.496Z,2025-10-14T14:50:04.506Z,2025-10-16T03:25:58.763Z,1000,32.99,"$1,012.28","Brainista Yerba Mate En Barras Mágicas Melocotón Y Mango - Yerba Mate En Barras Individuales - Té Instantáneo En Polvo para Llevar - Nootrópicos, Prebióticos Y Probióticos para Energía, Concentración",https://www.amazon.com.mx/dp/B0DXN8FYQY,https://www.amazon.com/dp/B0DXN8FYQY,YELL20GROUP,Brainista
,B0BVPPY8RN,1,Alimentos y Bebidas,disponible,disponible,,,2025-10-13T18:50:16.496Z,2025-10-14T14:51:01.965Z,2025-10-16T03:26:08.144Z,621.57,13.99,$614.45,"Sujoygar Brillo Brillo Comestible Para Cócteles Tortas Bebidas Chocolates Cupcakes - Juego De 6 Colores, Polvo De Brillo Dorado Comestible, Bebida Brillo Cóctel, Decoración De Pastel Comesti",https://www.amazon.com.mx/dp/B0BVPPY8RN,https://www.amazon.com/dp/B0BVPPY8RN,SRKSB LLC,Sujoygar
,B08SJKPLJS,1,Alimentos y Bebidas,disponible,disponible,,,2025-10-13T18:50:16.496Z,2025-10-14T14:51:13.892Z,2025-10-16T03:26:16.852Z,599.36,12.99,$580.99,Activon Tubo de miel Manuka 25 g/ 1oz,https://www.amazon.com.mx/dp/B08SJKPLJS,https://www.amazon.com/dp/B08SJKPLJS,SRKSB LLC,SparkleFront
,B09WTZRV6Z,1,Alimentos y Bebidas,disponible,disponible,,,2025-10-13T18:50:16.497Z,2025-10-14T14:51:22.743Z,2025-10-16T03:26:25.862Z,741.72,17.55,$730.22,"Graza Rocíe Aceite De Oliva Virgen Extra, Aceite De Acabado - Aceite De Acabado De Aove De Cosecha Temprana Con Alto Polifenol En Una Botella Exprimible - Aceites De Oliva De Origen Único De",https://www.amazon.com.mx/dp/B09WTZRV6Z,https://www.amazon.com/dp/B09WTZRV6Z,SRKSB LLC,
,B0BB4155J2,1,Alimentos y Bebidas,disponible,disponible,,,2025-10-13T18:50:16.497Z,2025-10-14T18:54:13.933Z,2025-10-16T03:26:35.726Z,715.51,16.9,$705.26,"Suministros de fiesta de superhéroes decoraciones de cumpleaños de los Vengadores, 20 globos de superhéroe, 1 pancarta de feliz cumpleaños, 13 decoraciones de pastel de superhéroe y cupcakes para fiestas de cumpleaños de niños",https://www.amazon.com.mx/dp/B0BB4155J2,https://www.amazon.com/dp/B0BB4155J2,Binglu,Foofotao
,B0BX5BNK5R,1,Alimentos y Bebidas,disponible,disponible,,,2025-10-13T18:50:16.497Z,2025-10-14T18:54:24.612Z,2025-10-16T03:26:44.318Z,808,19.99,$798.04,Real Naturals Fideos Ramen Sin Gluten Ramen Bajo En Sodio (10 Piezas) Fideos Ramen Simples. Grado Restaurante. Fideos Ramen Saludables Japoneses De Arroz Integral,https://www.amazon.com.mx/dp/B0BX5BNK5R,https://www.amazon.com/dp/B0BX5BNK5R,Doraida Store,BananaJoe
,B07Q3HCKX4,1,Alimentos y Bebidas,disponible,disponible,,,2025-10-13T18:50:16.497Z,2025-10-14T18:54:33.651Z,2025-10-16T03:26:53.680Z,570.06,11.99,$569.79,"Great Bazaar TAJ Gourmet - Peine de miel de acacia natural crudo, 200 g, color amarillo",https://www.amazon.com.mx/dp/B07Q3HCKX4,https://www.amazon.com/dp/B07Q3HCKX4,SRKSB LLC,Gandhi Foods
,B0C79YKQP3,1,Alimentos y Bebidas,disponible,disponible,,,2025-10-13T18:50:16.497Z,2025-10-14T18:54:45.257Z,2025-10-16T03:27:01.305Z,656.55,14.99,$651.98,"VERSAINSECT Elderberry Dried | Whole Dried Elderberries Berries Organic | European Wildcrafted All Natural | Non-GMO, Non-irradiated | Make Syrup, Tea | 6 Ounces Resealable Bag (Packaging May Vary)",https://www.amazon.com.mx/dp/B0C79YKQP3,https://www.amazon.com/dp/B0C79YKQP3,SRKSB LLC,Treasure Select
